false,Individual,,Tyler,Kathryn,kathryn.tyler@fakemail.not,6785119548,456 Fake Street,AnyTown,Nebraska,12345
false,Company,Georgia Gwinnett College,,,admin@ggc.not,6784075000,1000 University Center Lane,Lawrenceville,Georgia,30043
false,Individual,,York,Caitlin,caitlin_york@yahoo.not,7549114256,P.O. Box 42143,New York,New York,10001
true,Individual,,Nonymous,Ann,Ann@nonymou.us,4046118432,132 Anywhere Street,Nowhere,Iowa,44556
false,Company,Tyler's Shingles and Roof Repair,,,mail@tylerrepair.not,7428117524,222 Sideline Avenue,Dallas,Texas,94576
true,Individual,,Michael,Elizabeth,Elizabeth_Michael@aol.not,8426118742,482 Near Street,Olympus,Idaho,89746
false,Individual,,Tutone,Jenny,mail@columbiarecords.not,5628675309,133 Beachfront Boulevard,Santa Ana,California,92701
true,Company,Nann Tucket's Bar and Grill,,,mail@nanntkt.not,8416118463,P.O. Box 42144,Orlando,Florida,65468
false,Individual,,Anna,Santa,santa@ann.na,8465118479,P.O. Box 12345,Honolulu,Hawaii,99999
false,Company,Pete's Soft Drinks,,,mail@petecola.not,1547117987,432 Carbonated Lane,Birmingham,Alabama,45465
